Price,Room,Sqr_Meter,Location,City
850,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
820,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1600,1,50,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,165,"Tunis, Ain Zaghouan",Ain Zaghouan
1600,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
1950,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,5,220,"Tunis, Ain Zaghouan",Ain Zaghouan
1950,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,90,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,108,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,150,"Tunis, Ain Zaghouan",Ain Zaghouan
800,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
900,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
800,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
800,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,1,85,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,2,160,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,3,175,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1750,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
950,4,170,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
2200,3,151,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,2,90,"Tunis, Ain Zaghouan",Ain Zaghouan
2800,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
2500,5,200,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,2,90,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,250,"Tunis, Ain Zaghouan",Ain Zaghouan
1600,3,85,"Tunis, Ain Zaghouan",Ain Zaghouan
970,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,68,"Tunis, Ain Zaghouan",Ain Zaghouan
1050,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,4,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,3,145,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
700,4,60,"Tunis, Ain Zaghouan",Ain Zaghouan
3000,4,300,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,95,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,140,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1250,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,1,70,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,190,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,200,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,200,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
